"usstate","local_year","local_month","comaxvalue","rank"
"Arizona",2000,1,2.4,1
"California",2000,1,1.65643274853801,2
"District Of Columbia",2000,1,1.60322580645161,3
"Colorado",2000,1,1.41935483870968,4
"Kansas",2000,1,1.3758064516129,5
"New Jersey",2000,1,1.22333333333333,6
"Virginia",2000,1,1.19139784946237,7
"Pennsylvania",2000,1,1.18064516129032,8
"Florida",2000,1,1.1258064516129,9
"Illinois",2000,1,1.11538461538462,10
"Louisiana",2000,1,0.993548387096774,11
"Texas",2000,1,0.665714285714286,12
"New York",2000,1,0.647540983606557,13
"District Of Columbia",2000,2,1.80357142857143,1
"Arizona",2000,2,1.7725,2
"Kansas",2000,2,1.30862068965517,3
"Colorado",2000,2,1.22857142857143,4
"Pennsylvania",2000,2,1.21724137931034,5
"California",2000,2,1.08212634822804,6
"Louisiana",2000,2,1.03793103448276,7
"New Jersey",2000,2,1,8
"Virginia",2000,2,0.97375,9
"Illinois",2000,2,0.96551724137931,10
"Florida",2000,2,0.938461538461539,11
"New York",2000,2,0.925490196078431,12
"Texas",2000,2,0.806172839506173,13
"Kentucky",2000,2,0.25,14
"Indiana",2000,3,2.5,1
"Michigan",2000,3,2.1,2
"District Of Columbia",2000,3,1.78387096774193,3
"Missouri",2000,3,1.5,4
"Kansas",2000,3,1.22666666666667,5
"North Carolina",2000,3,1.2,6
"Arizona",2000,3,1.17977528089888,7
"Louisiana",2000,3,1.15483870967742,8
"Illinois",2000,3,1.12424242424242,9
"Florida",2000,3,0.945161290322581,10
"California",2000,3,0.902845528455286,11
"Colorado",2000,3,0.9,12
"Virginia",2000,3,0.814893617021276,13
"Pennsylvania",2000,3,0.769767441860465,14
"New Jersey",2000,3,0.687096774193549,15
"Texas",2000,3,0.686046511627907,16
"New York",2000,3,0.583050847457627,17
"Kentucky",2000,3,0.288888888888889,18
"Oklahoma",2000,3,0.168965517241379,19
"District Of Columbia",2000,4,1.40333333333333,1
"Indiana",2000,4,1.26333333333333,2
"Illinois",2000,4,1.2625,3
"Arizona",2000,4,1.154,4
"Kansas",2000,4,1.07666666666667,5
"Louisiana",2000,4,0.85,6
"Michigan",2000,4,0.83448275862069,7
"Virginia",2000,4,0.8,8
"California",2000,4,0.777932960893855,9
"Colorado",2000,4,0.76,10
"North Carolina",2000,4,0.74,11
"New Jersey",2000,4,0.736666666666667,12
"Missouri",2000,4,0.724444444444444,13
"Florida",2000,4,0.722222222222222,14
"Texas",2000,4,0.67816091954023,15
"New York",2000,4,0.43728813559322,16
"Pennsylvania",2000,4,0.371954022988506,17
"Kentucky",2000,4,0.371345029239766,18
"Oklahoma",2000,4,0.123255813953488,19
"District Of Columbia",2000,5,1.16451612903226,1
"Illinois",2000,5,0.957142857142857,2
"Kansas",2000,5,0.950909090909091,3
"Indiana",2000,5,0.932258064516129,4
"Arizona",2000,5,0.920689655172413,5
"Florida",2000,5,0.841935483870968,6
"Virginia",2000,5,0.764035087719298,7
"Louisiana",2000,5,0.761290322580645,8
"Colorado",2000,5,0.754838709677419,9
"North Carolina",2000,5,0.694827586206897,10
"New Jersey",2000,5,0.641935483870968,11
"Texas",2000,5,0.62987012987013,12
"California",2000,5,0.601558073654391,13
"New York",2000,5,0.586516853932584,14
"Missouri",2000,5,0.576881720430107,15
"Michigan",2000,5,0.425806451612903,16
"Pennsylvania",2000,5,0.374439461883408,17
"Kentucky",2000,5,0.325581395348837,18
"Oklahoma",2000,5,0.06,19
"District Of Columbia",2000,6,1.26,1
"Indiana",2000,6,1.05666666666667,2
"Florida",2000,6,1.01666666666667,3
"Illinois",2000,6,1.00459770114943,4
"Louisiana",2000,6,0.96,5
"North Carolina",2000,6,0.675,6
"New York",2000,6,0.670454545454545,7
"Virginia",2000,6,0.660169491525424,8
"Colorado",2000,6,0.66,9
"Missouri",2000,6,0.636111111111111,10
"Kansas",2000,6,0.604761904761905,11
"New Jersey",2000,6,0.6,12
"Arizona",2000,6,0.596666666666667,13
"California",2000,6,0.568391608391609,14
"Texas",2000,6,0.428358208955224,15
"Michigan",2000,6,0.406666666666667,16
"Pennsylvania",2000,6,0.348283752860412,17
"Kentucky",2000,6,0.242682926829268,18
"Oklahoma",2000,6,0.0655172413793104,19
"District Of Columbia",2000,7,1.61290322580645,1
"Indiana",2000,7,1.1,2
"Louisiana",2000,7,0.890322580645161,3
"Illinois",2000,7,0.763218390804598,4
"Kansas",2000,7,0.749462365591398,5
"North Carolina",2000,7,0.703389830508475,6
"Missouri",2000,7,0.691397849462366,7
"Colorado",2000,7,0.612903225806452,8
"Florida",2000,7,0.607407407407407,9
"Virginia",2000,7,0.605882352941176,10
"New York",2000,7,0.60375,11
"Arizona",2000,7,0.6,12
"New Jersey",2000,7,0.580769230769231,13
"Michigan",2000,7,0.558064516129032,14
"California",2000,7,0.484785435630689,15
"Texas",2000,7,0.463636363636364,16
"Pennsylvania",2000,7,0.360606060606061,17
"Kentucky",2000,7,0.195597484276729,18
"Oklahoma",2000,7,0.17906976744186,19
"District Of Columbia",2000,8,1.34193548387097,1
"Indiana",2000,8,1.11875,2
"Florida",2000,8,0.941935483870968,3
"Kansas",2000,8,0.891111111111111,4
"Illinois",2000,8,0.772043010752688,5
"Colorado",2000,8,0.770967741935484,6
"North Carolina",2000,8,0.763492063492064,7
"New Jersey",2000,8,0.712903225806451,8
"New York",2000,8,0.710112359550562,9
"Michigan",2000,8,0.7,10
"Missouri",2000,8,0.691397849462365,11
"Louisiana",2000,8,0.683870967741935,12
"Texas",2000,8,0.625619834710744,13
"California",2000,8,0.605936675461742,14
"Virginia",2000,8,0.601626016260162,15
"Arizona",2000,8,0.501694915254237,16
"Pennsylvania",2000,8,0.448051948051948,17
"Kentucky",2000,8,0.224193548387097,18
"Oklahoma",2000,8,0.0709677419354839,19
"District Of Columbia",2000,9,1.37586206896552,1
"Colorado",2000,9,1.03,2
"Louisiana",2000,9,1,3
"Kansas",2000,9,0.949122807017544,4
"Illinois",2000,9,0.929113924050633,5
"North Carolina",2000,9,0.924193548387097,6
"Indiana",2000,9,0.9,7
"Florida",2000,9,0.896666666666667,8
"Arizona",2000,9,0.861904761904762,9
"California",2000,9,0.749476831091181,10
"New York",2000,9,0.718888888888889,11
"Texas",2000,9,0.679439252336449,12
"New Jersey",2000,9,0.675862068965517,13
"Missouri",2000,9,0.673333333333333,14
"Michigan",2000,9,0.616666666666667,15
"Virginia",2000,9,0.614035087719298,16
"Pennsylvania",2000,9,0.452028639618138,17
"Kentucky",2000,9,0.252247191011236,18
"Oklahoma",2000,9,0.133333333333333,19
"District Of Columbia",2000,10,2.36451612903226,1
"North Carolina",2000,10,1.79655172413793,2
"New Jersey",2000,10,1.28387096774194,3
"Louisiana",2000,10,1.22903225806452,4
"Arizona",2000,10,1.1685393258427,5
"Kansas",2000,10,1.15967741935484,6
"Virginia",2000,10,1.15299145299145,7
"Colorado",2000,10,1.14516129032258,8
"Missouri",2000,10,1.02258064516129,9
"Illinois",2000,10,1.01538461538462,10
"New York",2000,10,0.965591397849462,11
"California",2000,10,0.868129032258065,12
"Texas",2000,10,0.781176470588235,13
"Florida",2000,10,0.745161290322581,14
"Pennsylvania",2000,10,0.727373068432671,15
