"usstate","local_year","local_month","no2maxvalue","rank"
"Arizona",2000,1,99.7717391304348,1
"Illinois",2000,1,47.1923076923077,2
"Pennsylvania",2000,1,41.741935483871,3
"California",2000,1,38.1023391812866,4
"Texas",2000,1,37.6142857142857,5
"New Jersey",2000,1,37.2333333333333,6
"Louisiana",2000,1,35.0967741935484,7
"New York",2000,1,33.1311475409836,8
"District Of Columbia",2000,1,32.6451612903226,9
"Florida",2000,1,32.2903225806452,10
"Virginia",2000,1,27.6129032258065,11
"Colorado",2000,1,26.1290322580645,12
"Kansas",2000,1,19.6290322580645,13
"Arizona",2000,2,82.975,1
"Pennsylvania",2000,2,53.8620689655172,2
"Illinois",2000,2,51,3
"New Jersey",2000,2,49,4
"Louisiana",2000,2,43.6206896551724,5
"New York",2000,2,41.6078431372549,6
"Texas",2000,2,40.2962962962963,7
"Colorado",2000,2,37.1071428571429,8
"District Of Columbia",2000,2,35.6785714285714,9
"Florida",2000,2,35.1923076923077,10
"Virginia",2000,2,34.675,11
"California",2000,2,31.7303543913713,12
"Kentucky",2000,2,30.75,13
"Kansas",2000,2,21.4137931034483,14
"Michigan",2000,3,60,1
"North Carolina",2000,3,59,2
"Missouri",2000,3,53.6666666666667,3
"Arizona",2000,3,51.3820224719101,4
"Indiana",2000,3,51,5
"Illinois",2000,3,48.0606060606061,6
"Pennsylvania",2000,3,46.1162790697674,7
"District Of Columbia",2000,3,43.9032258064516,8
"New Jersey",2000,3,42.4193548387097,9
"Louisiana",2000,3,40.5161290322581,10
"New York",2000,3,39.1016949152542,11
"Texas",2000,3,36.906976744186,12
"Virginia",2000,3,32.6595744680851,13
"California",2000,3,32.4227642276423,14
"Kentucky",2000,3,31.641975308642,15
"Colorado",2000,3,30.0967741935484,16
"Florida",2000,3,27.6774193548387,17
"Kansas",2000,3,20.55,18
"Oklahoma",2000,3,16.2931034482759,19
"Arizona",2000,4,53.16,1
"Illinois",2000,4,47.2386363636364,2
"Michigan",2000,4,42.4827586206897,3
"Indiana",2000,4,42.3,4
"Missouri",2000,4,38.75,5
"District Of Columbia",2000,4,38.1666666666667,6
"Texas",2000,4,36.2758620689655,7
"New Jersey",2000,4,36.0333333333333,8
"Virginia",2000,4,34.1083333333333,9
"New York",2000,4,33.7627118644068,10
"Louisiana",2000,4,33.1333333333333,11
"North Carolina",2000,4,32.1333333333333,12
"Kentucky",2000,4,31.0350877192982,13
"Pennsylvania",2000,4,30.5586206896552,14
"California",2000,4,30.5111731843575,15
"Florida",2000,4,27.5555555555556,16
"Kansas",2000,4,22.15,17
"Oklahoma",2000,4,15.8604651162791,18
"Colorado",2000,4,14.3333333333333,19
"Illinois",2000,5,44.1978021978022,1
"New York",2000,5,43.6516853932584,2
"District Of Columbia",2000,5,42.1290322580645,3
"Michigan",2000,5,40.9354838709677,4
"New Jersey",2000,5,37.6129032258064,5
"North Carolina",2000,5,36.2413793103448,6
"Virginia",2000,5,35.2368421052632,7
"Pennsylvania",2000,5,32.9887892376682,8
"Indiana",2000,5,32.3548387096774,9
"Louisiana",2000,5,31.5483870967742,10
"Texas",2000,5,30.4415584415584,11
"Missouri",2000,5,30.1290322580645,12
"Kentucky",2000,5,26.8662790697674,13
"California",2000,5,26.6614730878187,14
"Arizona",2000,5,25.3,15
"Colorado",2000,5,22.5483870967742,16
"Florida",2000,5,22.1935483870968,17
"Kansas",2000,5,20.9636363636364,18
"Oklahoma",2000,5,11.0888888888889,19
"District Of Columbia",2000,6,46.8,1
"Illinois",2000,6,45.1494252873563,2
"New York",2000,6,40.4090909090909,3
"Arizona",2000,6,39.05,4
"Michigan",2000,6,37.5666666666667,5
"Colorado",2000,6,36.3,6
"New Jersey",2000,6,36.2758620689655,7
"North Carolina",2000,6,33.7666666666667,8
"Indiana",2000,6,32.7666666666667,9
"Virginia",2000,6,29.9661016949153,10
"Missouri",2000,6,29.8111111111111,11
"Pennsylvania",2000,6,29.558352402746,12
"Louisiana",2000,6,29.1666666666667,13
"Kentucky",2000,6,25.969512195122,14
"California",2000,6,23.4391608391608,15
"Texas",2000,6,21.7611940298507,16
"Florida",2000,6,19.1666666666667,17
"Kansas",2000,6,15.2142857142857,18
"Oklahoma",2000,6,8.51724137931035,19
"Colorado",2000,7,41.7741935483871,1
"Illinois",2000,7,40.7586206896552,2
"New York",2000,7,39.7125,3
"Michigan",2000,7,38.6774193548387,4
"Arizona",2000,7,36.7833333333333,5
"District Of Columbia",2000,7,36.1612903225806,6
"Indiana",2000,7,34.5806451612903,7
"North Carolina",2000,7,31.6440677966102,8
"Louisiana",2000,7,31.5806451612903,9
"Virginia",2000,7,31.4285714285714,10
"New Jersey",2000,7,30.6538461538462,11
"Missouri",2000,7,30.5806451612903,12
"Pennsylvania",2000,7,27.7762237762238,13
"Texas",2000,7,27.0727272727273,14
"Kentucky",2000,7,24.5786163522013,15
"Florida",2000,7,24.1851851851852,16
"California",2000,7,22.6540962288687,17
"Kansas",2000,7,17.1612903225806,18
"Oklahoma",2000,7,14.1162790697674,19
"Michigan",2000,8,51.2142857142857,1
"Illinois",2000,8,44.8494623655914,2
"Colorado",2000,8,44.2258064516129,3
"New York",2000,8,40.4157303370786,4
"District Of Columbia",2000,8,38.6774193548387,5
"Louisiana",2000,8,35.9354838709677,6
"Arizona",2000,8,35.3898305084746,7
"Texas",2000,8,34.603305785124,8
"North Carolina",2000,8,33.1111111111111,9
"Missouri",2000,8,32.247311827957,10
"Indiana",2000,8,31.375,11
"New Jersey",2000,8,30.3548387096774,12
"Pennsylvania",2000,8,28.6147186147186,13
"California",2000,8,27.1939313984169,14
"Virginia",2000,8,27.1869918699187,15
"Kentucky",2000,8,26.1935483870968,16
"Florida",2000,8,23.1935483870968,17
"Kansas",2000,8,19.5333333333333,18
"Oklahoma",2000,8,16.2903225806452,19
"Arizona",2000,9,45.1666666666667,1
"Illinois",2000,9,42.7088607594937,2
"Michigan",2000,9,38.7666666666667,3
"Texas",2000,9,38.0093457943925,4
"New York",2000,9,37.7666666666667,5
"Missouri",2000,9,33.75,6
"District Of Columbia",2000,9,32.1724137931034,7
"California",2000,9,31.9596412556054,8
"Louisiana",2000,9,31.7333333333333,9
"Colorado",2000,9,30.3,10
"Virginia",2000,9,28.2368421052632,11
"North Carolina",2000,9,28.2258064516129,12
"New Jersey",2000,9,26.8620689655172,13
"Pennsylvania",2000,9,26.7326968973747,14
"Indiana",2000,9,26.3214285714286,15
"Kentucky",2000,9,26.2808988764045,16
"Florida",2000,9,18.8666666666667,17
"Kansas",2000,9,18.4912280701754,18
"Oklahoma",2000,9,16.8888888888889,19
"District Of Columbia",2000,10,46.4516129032258,1
"North Carolina",2000,10,45.3793103448276,2
"Louisiana",2000,10,44.6774193548387,3
"Arizona",2000,10,43.0224719101124,4
"New York",2000,10,42.7096774193548,5
"Illinois",2000,10,41.5274725274725,6
"New Jersey",2000,10,40.8064516129032,7
"Virginia",2000,10,38.5213675213675,8
"Missouri",2000,10,37.6881720430108,9
"Pennsylvania",2000,10,35.1103752759382,10
"Colorado",2000,10,34.8709677419355,11
"Kentucky",2000,10,34.7456647398844,12
"California",2000,10,30.9238709677419,13
"Texas",2000,10,30.4823529411765,14
"Florida",2000,10,29.9354838709677,15
"Kansas",2000,10,20.6129032258065,16
"Colorado",2000,11,45.9333333333333,1
"Arizona",2000,11,45.7575757575758,2
"District Of Columbia",2000,11,40.7,3
"California",2000,11,40.4626666666667,4
