"usstate","local_year","local_month","o3maxvalue","rank"
"Arizona",2000,1,0.0332391304347826,1
"Florida",2000,1,0.0319032258064516,2
"Kansas",2000,1,0.025758064516129,3
"Louisiana",2000,1,0.0257096774193548,4
"Texas",2000,1,0.0255714285714286,5
"New York",2000,1,0.0247213114754098,6
"California",2000,1,0.0221184210526316,7
"Colorado",2000,1,0.0214838709677419,8
"Virginia",2000,1,0.0203655913978495,9
"New Jersey",2000,1,0.0202,10
"District Of Columbia",2000,1,0.0191612903225806,11
"Pennsylvania",2000,1,0.0119354838709677,12
"Illinois",2000,1,0.00869230769230769,13
"Florida",2000,2,0.0443461538461539,1
"Arizona",2000,2,0.0422,2
"Louisiana",2000,2,0.0365862068965517,3
"Kansas",2000,2,0.034051724137931,4
"Kentucky",2000,2,0.034,5
"California",2000,2,0.0318397534668721,6
"Texas",2000,2,0.0314444444444445,7
"Colorado",2000,2,0.0289642857142857,8
"New York",2000,2,0.0280196078431373,9
"Virginia",2000,2,0.0275625,10
"New Jersey",2000,2,0.0236551724137931,11
"District Of Columbia",2000,2,0.0217142857142857,12
"Pennsylvania",2000,2,0.0141034482758621,13
"Illinois",2000,2,0.0134827586206897,14
"Florida",2000,3,0.0486451612903226,1
"Arizona",2000,3,0.0461460674157304,2
"Oklahoma",2000,3,0.0455,3
"California",2000,3,0.0407357723577236,4
"Louisiana",2000,3,0.0398709677419355,5
"Colorado",2000,3,0.0395483870967742,6
"Kansas",2000,3,0.03925,7
"Kentucky",2000,3,0.0376111111111111,8
"Virginia",2000,3,0.0373829787234043,9
"Texas",2000,3,0.0368953488372093,10
"New York",2000,3,0.0348813559322034,11
"New Jersey",2000,3,0.0341935483870968,12
"District Of Columbia",2000,3,0.0263548387096774,13
"Pennsylvania",2000,3,0.0179767441860465,14
"Illinois",2000,3,0.0172727272727273,15
"North Carolina",2000,3,0.012,16
"Indiana",2000,3,0.003,17
"Michigan",2000,3,0.002,18
"Missouri",2000,3,0.00166666666666667,19
"Florida",2000,4,0.0565555555555556,1
"Arizona",2000,4,0.05492,2
"Kansas",2000,4,0.0493666666666667,3
"Texas",2000,4,0.0479195402298851,4
"Oklahoma",2000,4,0.0473255813953488,5
"North Carolina",2000,4,0.0463,6
"California",2000,4,0.0452234636871509,7
"Kentucky",2000,4,0.0435906432748538,8
"Louisiana",2000,4,0.0421666666666667,9
"Missouri",2000,4,0.0416555555555556,10
"Pennsylvania",2000,4,0.0413333333333333,11
"Indiana",2000,4,0.0406666666666667,12
"Colorado",2000,4,0.0398666666666667,13
"Virginia",2000,4,0.0380083333333333,14
"New York",2000,4,0.0375762711864407,15
"New Jersey",2000,4,0.0354333333333333,16
"Michigan",2000,4,0.032,17
"District Of Columbia",2000,4,0.029,18
"Illinois",2000,4,0.0278977272727273,19
"North Carolina",2000,5,0.0631896551724138,1
"Arizona",2000,5,0.0592758620689655,2
"Oklahoma",2000,5,0.0533555555555556,3
