"usstate","local_year","local_month","so2maxvalue","rank"
"District Of Columbia",2000,1,23.5483870967742,1
"New York",2000,1,20.2950819672131,2
"New Jersey",2000,1,19.4333333333333,3
"Louisiana",2000,1,18.258064516129,4
"Virginia",2000,1,17.4086021505376,5
"Colorado",2000,1,16.3870967741935,6
"Pennsylvania",2000,1,16.2258064516129,7
"Illinois",2000,1,15.4230769230769,8
"Texas",2000,1,13.0857142857143,9
"Arizona",2000,1,9.31521739130435,10
"Kansas",2000,1,8.04838709677419,11
"California",2000,1,4.28947368421053,12
"Florida",2000,1,4.2258064516129,13
"New York",2000,2,23.078431372549,1
"District Of Columbia",2000,2,22.0714285714286,2
"New Jersey",2000,2,20.8275862068966,3
"Virginia",2000,2,19.7375,4
"Pennsylvania",2000,2,19.0344827586207,5
"Kentucky",2000,2,18.5,6
"Illinois",2000,2,16.6551724137931,7
"Louisiana",2000,2,16.1034482758621,8
"Texas",2000,2,15.2098765432099,9
"Colorado",2000,2,15.0357142857143,10
"Arizona",2000,2,7.375,11
"Kansas",2000,2,5.13793103448276,12
"California",2000,2,3.08721109399075,13
"Florida",2000,2,3.03846153846154,14
"Michigan",2000,3,24,1
"Illinois",2000,3,18.1212121212121,2
"Kentucky",2000,3,17.4753086419753,3
"Virginia",2000,3,16.5957446808511,4
"Missouri",2000,3,15,5
"New Jersey",2000,3,13.9354838709677,6
"Louisiana",2000,3,13.6451612903226,7
"Pennsylvania",2000,3,13.3720930232558,8
"Texas",2000,3,12.8488372093023,9
"Oklahoma",2000,3,12.6551724137931,10
"District Of Columbia",2000,3,12.2903225806452,11
"Colorado",2000,3,12.0322580645161,12
"Indiana",2000,3,12,13
"New York",2000,3,11.7118644067797,14
"North Carolina",2000,3,8,15
"Kansas",2000,3,5.73333333333333,16
"Arizona",2000,3,5.08539325842697,17
"California",2000,3,4.14051490514905,18
"Florida",2000,3,2.38709677419355,19
"Illinois",2000,4,23.5909090909091,1
"Michigan",2000,4,23.4827586206897,2
"Indiana",2000,4,15.8666666666667,3
"Kentucky",2000,4,15.7485380116959,4
"Missouri",2000,4,14.6666666666667,5
"Virginia",2000,4,14.5583333333333,6
"Colorado",2000,4,12.7,7
"Pennsylvania",2000,4,12.6965517241379,8
"Louisiana",2000,4,12.0333333333333,9
"North Carolina",2000,4,11.1666666666667,10
"District Of Columbia",2000,4,10.8666666666667,11
"Texas",2000,4,9.75862068965517,12
"Oklahoma",2000,4,9.02325581395349,13
"New York",2000,4,8.67796610169492,14
"New Jersey",2000,4,8,15
"Arizona",2000,4,5.8,16
"California",2000,4,3.84217877094972,17
"Kansas",2000,4,2.61666666666667,18
"Florida",2000,4,2,19
"Michigan",2000,5,22.2258064516129,1
"Indiana",2000,5,18.8064516129032,2
"North Carolina",2000,5,17.6551724137931,3
"Illinois",2000,5,16.1208791208791,4
"Colorado",2000,5,15.4193548387097,5
"Missouri",2000,5,15.2258064516129,6
"District Of Columbia",2000,5,14.8709677419355,7
"Pennsylvania",2000,5,14.4035874439462,8
"Virginia",2000,5,13.1140350877193,9
"Kentucky",2000,5,12.8372093023256,10
"New Jersey",2000,5,10.0645161290323,11
"New York",2000,5,9.89887640449438,12
"Louisiana",2000,5,8.09677419354839,13
"Texas",2000,5,6.35064935064935,14
"Arizona",2000,5,5.70689655172414,15
"California",2000,5,4.62606232294618,16
"Florida",2000,5,3.19354838709677,17
"Kansas",2000,5,2.41818181818182,18
"Oklahoma",2000,5,2.33333333333333,19
"Michigan",2000,6,25,1
"Indiana",2000,6,24.0333333333333,2
"Illinois",2000,6,19.264367816092,3
"New Jersey",2000,6,18.3448275862069,4
"District Of Columbia",2000,6,18.2,5
"North Carolina",2000,6,16.0666666666667,6
"Colorado",2000,6,16.0333333333333,7
"Pennsylvania",2000,6,15.8947368421053,8
"Kentucky",2000,6,15.8292682926829,9
